epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.032,1.26133,1.51806,1.37538,0.84987,0.73063,0.81241,0.46142,1.36202,1.18582,1.34521,0.000554479,0.000554479,0.000554479
2,118.482,1.26287,1.13671,1.37008,0.80341,0.66494,0.77013,0.45173,1.36512,1.09464,1.46079,0.00108817,0.00108817,0.00108817
3,174.753,1.26059,1.10678,1.35825,0.86524,0.682,0.79712,0.46386,1.32305,0.96849,1.33179,0.00159985,0.00159985,0.00159985
4,231.957,1.22856,1.03698,1.34042,0.87316,0.7545,0.83608,0.51885,1.22588,0.84425,1.24926,0.00156798,0.00156798,0.00156798
5,289.792,1.18823,0.97802,1.3049,0.85012,0.76554,0.84068,0.50772,1.28165,0.83296,1.29906,0.00153497,0.00153497,0.00153497
6,350.051,1.17024,0.8917,1.27345,0.87492,0.79252,0.86552,0.53345,1.21112,0.74806,1.22932,0.00150197,0.00150197,0.00150197
7,409.678,1.10965,0.82691,1.25554,0.86242,0.77473,0.84883,0.52776,1.20161,0.79837,1.23639,0.00146896,0.00146896,0.00146896
8,470.671,1.10683,0.83232,1.26072,0.88527,0.7861,0.8618,0.53758,1.20429,0.75664,1.23498,0.00143595,0.00143595,0.00143595
9,528.23,1.07578,0.78577,1.2329,0.91395,0.79495,0.87627,0.53414,1.19736,0.71249,1.21545,0.00140295,0.00140295,0.00140295
10,585.386,1.09298,0.7615,1.23642,0.88639,0.80548,0.88205,0.55378,1.17603,0.69886,1.20609,0.00136994,0.00136994,0.00136994
11,641.049,1.06784,0.75709,1.23061,0.89907,0.8001,0.88059,0.54869,1.17097,0.68966,1.2066,0.00133693,0.00133693,0.00133693
12,698.479,1.07218,0.74613,1.22769,0.8952,0.81948,0.88408,0.5593,1.16118,0.69111,1.20126,0.00130393,0.00130393,0.00130393
13,759.633,1.06947,0.7458,1.2233,0.90038,0.82899,0.89233,0.54628,1.18692,0.67755,1.21029,0.00127092,0.00127092,0.00127092
14,821.163,1.04446,0.71635,1.21779,0.89844,0.81874,0.89141,0.55809,1.16852,0.64608,1.18857,0.00123791,0.00123791,0.00123791
